"EntityDefinition.QualifiedApiName","QualifiedApiName","Label","DataType","NamespacePrefix"
"summit__Summit_Events_Registration__c","Academic_Advising_Status__c","Academic Advising Status","Picklist",
"summit__Summit_Events_Registration__c","Add_Info_Answer_1_Short__c","Add Info Answer 1 Short","Text(255)",
"summit__Summit_Events_Registration__c","Add_Info_Answer_2_Short__c","Add Info Answer 2 Short","Text(255)",
"summit__Summit_Events_Registration__c","Add_Info_Answer_3_Short__c","Add Info Answer 3 Short","Text(255)",
"summit__Summit_Events_Registration__c","Add_Info_Answer_4_Short__c","Add Info Answer 4 Short","Text(255)",
"summit__Summit_Events_Registration__c","Add_Info_Answer_5_Short__c","Add Info Answer 5 Short","Text(255)",
"summit__Summit_Events_Registration__c","Course_Selection_2__c","Course Selection 2","Text(255)",
"summit__Summit_Events_Registration__c","Course_Selection_3__c","Course Selection 3","Text(255)",
"summit__Summit_Events_Registration__c","Course_Selection__c","Course Selection","Text(255)",
"summit__Summit_Events_Registration__c","Education_Level__c","Education Level","Picklist",
"summit__Summit_Events_Registration__c","Event_Instance_Name_SP__c","Event Instance Name SP","Formula (Text)",
"summit__Summit_Events_Registration__c","FIU_Panther_ID_Calc__c","Panther ID Calculated","Formula (Text)",
"summit__Summit_Events_Registration__c","Is_Facebook_Converted__c","Is Facebook Converted","Checkbox",
"summit__Summit_Events_Registration__c","OEA_Status__c","OEA Status","Picklist",
"summit__Summit_Events_Registration__c","OGI_Display_Name__c","OGI Display Name","Formula (Text)",
"summit__Summit_Events_Registration__c","Parent_EPEs_Course_Offer_Exp_Date__c","Parent EPEs Course Offer Exp Date","Formula (Text)",
"summit__Summit_Events_Registration__c","Parent_Zoom_Recording_Link__c","Parent Zoom Recording Link","Formula (Text)",
"summit__Summit_Events_Registration__c","Parent_Zoom_Recording_Password__c","Parent Zoom Recording Password","Formula (Text)",
"summit__Summit_Events_Registration__c","Parking_info__c","Parking info","Long Text Area(1000)",
"summit__Summit_Events_Registration__c","Passport_Expiration_Date__c","Passport Expiration Date","Date",
"summit__Summit_Events_Registration__c","Passport_Number__c","Passport Number","Text(12)",
"summit__Summit_Events_Registration__c","Payment_Amount__c","Payment Amount","Roll-Up Summary (SUM Summit Events Payment)",
"summit__Summit_Events_Registration__c","Shirt_Size__c","Shirt Size","Text(5)",
"summit__Summit_Events_Registration__c","Terms_and_Conditions__c","Terms and Conditions","Checkbox",
"summit__Summit_Events_Registration__c","Virtual_Meeting_ID__c","Virtual Meeting ID","Formula (Text)",
"summit__Summit_Events_Registration__c","Virtual_Meeting_Password__c","Virtual Meeting Password","Formula (Text)",
